itm_no_item|INVALID ITEM{***}
itm_new_sword1|短 劍 
itm_new_sword1_pl|短 劍 
itm_new_sword2|短 劍 
itm_new_sword2_pl|短 劍 
itm_new_sword3|短 劍 
itm_new_sword3_pl|短 劍 
itm_new_sword4|短 劍 
itm_new_sword4_pl|短 劍 
itm_new_sword5|短 劍 
itm_new_sword5_pl|短 劍 
itm_new_sword6|短 劍 
itm_new_sword6_pl|短 劍 
itm_noble_sword|華 麗 的 劍 
itm_noble_sword_pl|華 麗 的 劍 
itm_noble_sword_2|華 麗 的 劍 
itm_noble_sword_2_pl|華 麗 的 劍 
itm_noble_sword_3|華 麗 的 劍 
itm_noble_sword_3_pl|華 麗 的 劍 
itm_noble_sword_4|華 麗 的 劍 
itm_noble_sword_4_pl|華 麗 的 劍 
itm_noble_sword_5|華 麗 的 劍 
itm_noble_sword_5_pl|華 麗 的 劍 
itm_noble_sword_6|華 麗 的 劍 
itm_noble_sword_6_pl|華 麗 的 劍 
itm_old_swordv|布 立 吞 劍 
itm_old_swordv_pl|布 立 吞 劍 
itm_old_swordv2|布 立 吞 劍 
itm_old_swordv2_pl|布 立 吞 劍 
itm_old_swordv3|布 立 吞 劍 
itm_old_swordv3_pl|布 立 吞 劍 
itm_old_swordv4|布 立 吞 劍 
itm_old_swordv4_pl|布 立 吞 劍 
itm_old_swordv5|布 立 吞 劍 
itm_old_swordv5_pl|布 立 吞 劍 
itm_old_swordv6|布 立 吞 劍 
itm_old_swordv6_pl|布 立 吞 劍 
itm_old_swordv7|布 立 吞 劍 
itm_old_swordv7_pl|布 立 吞 劍 
itm_noble_sword_7|布 立 吞 貴 族 劍 
itm_noble_sword_7_pl|布 立 吞 貴 族 劍 
itm_noble_sword_8|布 立 吞 貴 族 劍 
itm_noble_sword_8_pl|布 立 吞 貴 族 劍 
itm_noble_sword_9|布 立 吞 貴 族 劍 
itm_noble_sword_9_pl|布 立 吞 貴 族 劍 
itm_noble_sword_10|布 立 吞 貴 族 劍 
itm_noble_sword_10_pl|布 立 吞 貴 族 劍 
itm_noble_sword_11|布 立 吞 貴 族 劍 
itm_noble_sword_11_pl|布 立 吞 貴 族 劍 
itm_noble_sword_12|布 立 吞 貴 族 劍 
itm_noble_sword_12_pl|布 立 吞 貴 族 劍 
itm_noble_sword_13|布 立 吞 貴 族 劍 
itm_noble_sword_13_pl|布 立 吞 貴 族 劍 
itm_noble_swordv|貴 族 劍 
itm_noble_swordv_pl|貴 族 劍 
itm_noble_swordv3|貴 族 劍 
itm_noble_swordv3_pl|貴 族 劍 
itm_noble_swordv4|貴 族 劍 
itm_noble_swordv4_pl|貴 族 劍 
itm_noble_swordv5|貴 族 劍 
itm_noble_swordv5_pl|貴 族 劍 
itm_noble_swordv6|貴 族 劍 
itm_noble_swordv6_pl|貴 族 劍 
itm_noble_swordv7|貴 族 劍 
itm_noble_swordv7_pl|貴 族 劍 
itm_irish_long_sword1|戈 伊 德 爾 貴 族 長 劍 
itm_irish_long_sword1_pl|戈 伊 德 爾 貴 族 長 劍 
itm_irish_long_sword2|戈 伊 德 爾 貴 族 長 劍 
itm_irish_long_sword2_pl|戈 伊 德 爾 貴 族 長 劍 
itm_irish_long_sword3|戈 伊 德 爾 長 劍 
itm_irish_long_sword3_pl|戈 伊 德 爾 長 劍 
itm_irish_long_sword4|戈 伊 德 爾 長 劍 
itm_irish_long_sword4_pl|戈 伊 德 爾 長 劍 
itm_irish_long_sword5|戈 伊 德 爾 長 劍 
itm_irish_long_sword5_pl|戈 伊 德 爾 長 劍 
itm_irish_long_sword6|戈 伊 德 爾 長 劍 
itm_irish_long_sword6_pl|戈 伊 德 爾 長 劍 
itm_irish_long_sword7|戈 伊 德 爾 長 劍 
itm_irish_long_sword7_pl|戈 伊 德 爾 長 劍 
itm_irish_long_sword8|戈 伊 德 爾 長 劍 
itm_irish_long_sword8_pl|戈 伊 德 爾 長 劍 
itm_irish_short_sword1|戈 伊 德 爾 短 劍 
itm_irish_short_sword1_pl|戈 伊 德 爾 短 劍 
itm_irish_short_sword2|戈 伊 德 爾 短 劍 
itm_irish_short_sword2_pl|戈 伊 德 爾 短 劍 
itm_irish_short_sword3|戈 伊 德 爾 短 劍 
itm_irish_short_sword3_pl|戈 伊 德 爾 短 劍 
itm_championsword1|戈 伊 德 爾 勇 者 劍 
itm_championsword1_pl|戈 伊 德 爾 勇 者 劍 
itm_championsword2|戈 伊 德 爾 勇 者 劍 
itm_championsword2_pl|戈 伊 德 爾 勇 者 劍 
itm_widow_maker|寡 婦 制 造 者 
itm_widow_maker_pl|寡 婦 制 造 者 
itm_suttonhoosword2|強 盜 王 之 劍 
itm_suttonhoosword2_pl|強 盜 王 之 劍 
itm_siren_song|海 妖 之 歌 
itm_siren_song_pl|海 妖 之 歌 
itm_sword_of_war|奧 維 爾 之 劍 
itm_sword_of_war_pl|奧 維 爾 之 劍 
itm_sword_premium1|納 德 之 劍 
itm_sword_premium1_pl|納 德 之 劍 
itm_sword_premium2|龍 之 劍 
itm_sword_premium2_pl|龍 之 劍 
itm_sword_premium3|布 林 朱 庇 特 之 劍 
itm_sword_premium3_pl|布 林 朱 庇 特 之 劍 
itm_hatchet|斧 
itm_hatchet_pl|斧 
itm_axe|斧 
itm_axe_pl|斧 
itm_axe_2|短 戰 斧 
itm_axe_2_pl|短 戰 斧 
itm_hand_axe|短 戰 斧 
itm_hand_axe_pl|短 戰 斧 
itm_axe_3|長 戰 斧 
itm_axe_3_pl|長 戰 斧 
itm_axe_4|長 戰 斧 
itm_axe_4_pl|長 戰 斧 
itm_one_handed_war_axe_a|短 斧 
itm_one_handed_war_axe_a_pl|短 斧 
itm_one_handed_war_axe_b|短 斧 
itm_one_handed_war_axe_b_pl|短 斧 
itm_one_handed_war_axe_c|短 斧 
itm_one_handed_war_axe_c_pl|短 斧 
itm_one_handed_war_axe_d|短 斧 
itm_one_handed_war_axe_d_pl|短 斧 
itm_one_handed_war_axe_e|長 斧 
itm_one_handed_war_axe_e_pl|長 斧 
itm_one_handed_war_axe_f|長 斧 
itm_one_handed_war_axe_f_pl|長 斧 
itm_axe_5|長 手 斧 
itm_axe_5_pl|長 手 斧 
itm_axe_6|手 斧 
itm_axe_6_pl|手 斧 
itm_axe_7|短 手 斧 
itm_axe_7_pl|短 手 斧 
itm_axe_8|短 手 斧 
itm_axe_8_pl|短 手 斧 
itm_axe_9|手 斧 
itm_axe_9_pl|手 斧 
itm_axe_10|重 手 斧 
itm_axe_10_pl|重 手 斧 
itm_pictish_hatchet|戈 伊 德 爾 斧 
itm_pictish_hatchet_pl|戈 伊 德 爾 斧 
itm_pictish_hatchet2|戈 伊 德 爾 斧 
itm_pictish_hatchet2_pl|戈 伊 德 爾 斧 
itm_pictish_hatchet3|戈 伊 德 爾 長 斧 
itm_pictish_hatchet3_pl|戈 伊 德 爾 長 斧 
itm_pictish_hatchet4|戈 伊 德 爾 長 斧 
itm_pictish_hatchet4_pl|戈 伊 德 爾 長 斧 
itm_pictish_hatchet5|皮 克 特 斧 
itm_pictish_hatchet5_pl|皮 克 特 斧 
itm_pictish_hatchet6|皮 克 特 斧 
itm_pictish_hatchet6_pl|皮 克 特 斧 
itm_pictish_hatchet7|皮 克 特 斧 
itm_pictish_hatchet7_pl|皮 克 特 斧 
itm_pictish_hatchet8|皮 克 特 短 斧 
itm_pictish_hatchet8_pl|皮 克 特 短 斧 
itm_pictish_hatchet9|皮 克 特 重 斧 
itm_pictish_hatchet9_pl|皮 克 特 重 斧 
itm_pictish_hatchet10|皮 克 特 重 斧 
itm_pictish_hatchet10_pl|皮 克 特 重 斧 
itm_pictish_hatchet11|戈 伊 德 爾 短 手 斧 
itm_pictish_hatchet11_pl|戈 伊 德 爾 短 手 斧 
itm_pictish_hatchet12|戈 伊 德 爾 短 手 斧 
itm_pictish_hatchet12_pl|戈 伊 德 爾 短 手 斧 
itm_pictish_hatchet13|戈 伊 德 爾 短 手 斧 
itm_pictish_hatchet13_pl|戈 伊 德 爾 短 手 斧 
itm_pictish_hatchet14|戈 伊 德 爾 短 手 斧 
itm_pictish_hatchet14_pl|戈 伊 德 爾 短 手 斧 
itm_pictish_hatchet15|戈 伊 德 爾 長 手 斧 
itm_pictish_hatchet15_pl|戈 伊 德 爾 長 手 斧 
itm_pictish_hatchet16|戈 伊 德 爾 長 手 斧 
itm_pictish_hatchet16_pl|戈 伊 德 爾 長 手 斧 
itm_pictish_hatchet17|戈 伊 德 爾 貴 族 斧 
itm_pictish_hatchet17_pl|戈 伊 德 爾 貴 族 斧 
itm_pictish_hatchet18|戈 伊 德 爾 貴 族 斧 
itm_pictish_hatchet18_pl|戈 伊 德 爾 貴 族 斧 
itm_long_axe_b|伐 木 斧 
itm_long_axe_b_pl|伐 木 斧 
itm_frankish_axe|法 蘭 克 戰 斧 
itm_frankish_axe_pl|法 蘭 克 戰 斧 
itm_staff|棍 
itm_staff_pl|棍 
itm_quarter_staff|短 棍 
itm_quarter_staff_pl|短 棍 
itm_pitch_fork|草 叉 
itm_pitch_fork_pl|草 叉 
itm_battle_fork|牧 羊 杖 
itm_battle_fork_pl|牧 羊 杖 
itm_light_spear1|輕 型 矛 
itm_light_spear1_pl|輕 型 矛 
itm_light_spear2|輕 型 矛 
itm_light_spear2_pl|輕 型 矛 
itm_light_spear3|輕 型 矛 
itm_light_spear3_pl|輕 型 矛 
itm_light_spear4|輕 型 矛 
itm_light_spear4_pl|輕 型 矛 
itm_war_spear1|戰 矛 
itm_war_spear1_pl|戰 矛 
itm_war_spear2|戰 矛 
itm_war_spear2_pl|戰 矛 
itm_war_spear3|戰 矛 
itm_war_spear3_pl|戰 矛 
itm_heavy_spear1|加 重 矛 
itm_heavy_spear1_pl|加 重 矛 
itm_heavy_spear2|加 重 矛 
itm_heavy_spear2_pl|加 重 矛 
itm_heavy_spear3|加 重 矛 
itm_heavy_spear3_pl|加 重 矛 
itm_long_light_spear1|輕 型 長 矛 
itm_long_light_spear1_pl|輕 型 長 矛 
itm_long_light_spear2|輕 型 長 矛 
itm_long_light_spear2_pl|輕 型 長 矛 
itm_long_war_spear1|長 戰 矛 
itm_long_war_spear1_pl|長 戰 矛 
itm_long_war_spear2|長 戰 矛 
itm_long_war_spear2_pl|長 戰 矛 
itm_long_heavy_spear1|加 重 長 矛 
itm_long_heavy_spear1_pl|加 重 長 矛 
itm_long_heavy_spear2|加 重 長 矛 
itm_long_heavy_spear2_pl|加 重 長 矛 
itm_new_mace|長 槍 
itm_new_mace_pl|長 槍 
itm_premium_spear1|岡 格 尼 爾 
itm_premium_spear1_pl|岡 格 尼 爾 
itm_standard|軍 旗 
itm_standard_pl|軍 旗 
itm_standard_dragon|龍 旗 
itm_standard_dragon_pl|龍 旗 
itm_horn|號 角 
itm_horn_pl|號 角 
itm_horn_multi|號 角 
itm_horn_multi_pl|號 角 
itm_wooden_shield|圓 盾 
itm_wooden_shield_pl|圓 盾 
itm_viking_shield_round_06|圓 盾 
itm_viking_shield_round_06_pl|圓 盾 
itm_viking_shield_round_07|圓 盾 
itm_viking_shield_round_07_pl|圓 盾 
itm_viking_shield_round_10|圓 盾 
itm_viking_shield_round_10_pl|圓 盾 
itm_viking_shield_round_11|圓 盾 
itm_viking_shield_round_11_pl|圓 盾 
itm_viking_shield_round_08|圓 盾 
itm_viking_shield_round_08_pl|圓 盾 
itm_viking_shield_round_09|圓 盾 
itm_viking_shield_round_09_pl|圓 盾 
itm_viking_shield_round_12|圓 盾 
itm_viking_shield_round_12_pl|圓 盾 
itm_viking_shield_round_13|圓 盾 
itm_viking_shield_round_13_pl|圓 盾 
itm_viking_shield_round_01|生 皮 盾 
itm_viking_shield_round_01_pl|生 皮 盾 
itm_viking_shield_round_02|生 皮 盾 
itm_viking_shield_round_02_pl|生 皮 盾 
itm_viking_shield_round_03|生 皮 盾 
itm_viking_shield_round_03_pl|生 皮 盾 
itm_viking_shield_round_14|生 皮 盾 
itm_viking_shield_round_14_pl|生 皮 盾 
itm_viking_shield_round_15|生 皮 盾 
itm_viking_shield_round_15_pl|生 皮 盾 
itm_viking_shield_round_04|生 皮 圓 盾 
itm_viking_shield_round_04_pl|生 皮 圓 盾 
itm_viking_shield_round_05|生 皮 圓 盾 
itm_viking_shield_round_05_pl|生 皮 圓 盾 
itm_viking_shield_round_16|生 皮 圓 盾 
itm_viking_shield_round_16_pl|生 皮 圓 盾 
itm_viking_shield_round_17|生 皮 圓 盾 
itm_viking_shield_round_17_pl|生 皮 圓 盾 
itm_viking_shield_round_18|生 皮 圓 盾 
itm_viking_shield_round_18_pl|生 皮 圓 盾 
itm_viking_shield_round_19|生 皮 圓 盾 
itm_viking_shield_round_19_pl|生 皮 圓 盾 
itm_viking_shield_round_20|生 皮 圓 盾 
itm_viking_shield_round_20_pl|生 皮 圓 盾 
itm_viking_shield_round_21|生 皮 圓 盾 
itm_viking_shield_round_21_pl|生 皮 圓 盾 
itm_shield_1|凸 圓 盾 
itm_shield_1_pl|凸 圓 盾 
itm_shield_2|凸 圓 盾 
itm_shield_2_pl|凸 圓 盾 
itm_shield_3|凸 圓 盾 
itm_shield_3_pl|凸 圓 盾 
itm_shield_4|凸 圓 盾 
itm_shield_4_pl|凸 圓 盾 
itm_shield_5|凸 圓 盾 
itm_shield_5_pl|凸 圓 盾 
itm_shield_6|凸 圓 盾 
itm_shield_6_pl|凸 圓 盾 
itm_shield_6_2|凸 圓 盾 
itm_shield_6_2_pl|凸 圓 盾 
itm_shield_7|勇 士 盾 
itm_shield_7_pl|勇 士 盾 
itm_shield_8|勇 士 盾 
itm_shield_8_pl|勇 士 盾 
itm_shield_9|勇 士 盾 
itm_shield_9_pl|勇 士 盾 
itm_shield_10|圓 盾 
itm_shield_10_pl|圓 盾
itm_shield_11|生 皮 盾 
itm_shield_11_pl|生 皮 盾 
itm_shield_12|斯 維 爾 盾 
itm_shield_12_pl|斯 維 爾 盾 
itm_shield_13|圓 盾 
itm_shield_13_pl|圓 盾 
itm_shield_14|圓 盾 
itm_shield_14_pl|圓 盾 
itm_shield_15|生 皮 盾 
itm_shield_15_pl|生 皮 盾 
itm_shield_16|生 皮 盾 
itm_shield_16_pl|生 皮 盾 
itm_shield_17|圓 盾 
itm_shield_17_pl|圓 盾 
itm_shield_18|圓 盾 
itm_shield_18_pl|圓 盾 
itm_shield_19|丹 麥 盾 
itm_shield_19_pl|丹 麥 盾 
itm_shield_20|諾 曼 盾 
itm_shield_20_pl|諾 曼 盾 
itm_shield_21|圓 盾 
itm_shield_21_pl|圓 盾 
itm_gael_bigroundshield_01|蓋 爾 圓 盾 
itm_gael_bigroundshield_01_pl|蓋 爾 圓 盾 
itm_gael_bigroundshield_02|蓋 爾 圓 盾 
itm_gael_bigroundshield_02_pl|蓋 爾 圓 盾 
itm_gael_bigroundshield_03|蓋 爾 圓 盾 
itm_gael_bigroundshield_03_pl|蓋 爾 圓 盾 
itm_gael_bigroundshield_04|蓋 爾 圓 盾 
itm_gael_bigroundshield_04_pl|蓋 爾 圓 盾 
itm_gael_bigroundshield_05|蓋 爾 圓 盾 
itm_gael_bigroundshield_05_pl|蓋 爾 圓 盾 
itm_gael_bigroundshield_06|蓋 爾 圓 盾 
itm_gael_bigroundshield_06_pl|蓋 爾 圓 盾 
itm_gael_bigroundshield_07|蓋 爾 圓 盾 
itm_gael_bigroundshield_07_pl|蓋 爾 圓 盾 
itm_elf_shield|精 靈 之 盾 
itm_elf_shield_pl|精 靈 之 盾 
itm_tab_shield_round_c|彩 繪 凸 圓 盾 
itm_tab_shield_round_c_pl|彩 繪 凸 圓 盾 
itm_tab_shield_round_01_device|彩 繪 圓 盾 
itm_tab_shield_round_01_device_pl|彩 繪 圓 盾 
itm_tab_shield_round_01_nodevice|彩 繪 圓 盾 
itm_tab_shield_round_01_nodevice_pl|彩 繪 圓 盾 
itm_tab_shield_round_02_device|彩 繪 圓 盾 
itm_tab_shield_round_02_device_pl|彩 繪 圓 盾 
itm_tab_shield_round_02_nodevice|彩 繪 圓 盾 
itm_tab_shield_round_02_nodevice_pl|彩 繪 圓 盾 
itm_tab_shield_round_03_device|彩 繪 圓 盾 
itm_tab_shield_round_03_device_pl|彩 繪 圓 盾 
itm_tab_shield_round_03_nodevice|彩 繪 圓 盾 
itm_tab_shield_round_03_nodevice_pl|彩 繪 圓 盾 
itm_tab_shield_round_04_device|彩 繪 圓 盾 
itm_tab_shield_round_04_device_pl|彩 繪 圓 盾 
itm_tab_shield_round_04_nodevice|彩 繪 圓 盾 
itm_tab_shield_round_04_nodevice_pl|彩 繪 圓 盾 
itm_tab_shield_round_05_device|彩 繪 凸 圓 盾 
itm_tab_shield_round_05_device_pl|彩 繪 凸 圓 盾 
itm_tab_shield_round_05_nodevice|彩 繪 凸 圓 盾 
itm_tab_shield_round_05_nodevice_pl|彩 繪 凸 圓 盾 
itm_tab_shield_round_06_device|彩 繪 凸 圓 盾 
itm_tab_shield_round_06_device_pl|彩 繪 凸 圓 盾 
itm_tab_shield_round_06_nodevice|彩 繪 凸 圓 盾 
itm_tab_shield_round_06_nodevice_pl|彩 繪 凸 圓 盾 
itm_tab_shield_round_07_device|彩 繪 圓 盾 
itm_tab_shield_round_07_device_pl|彩 繪 圓 盾 
itm_tab_shield_round_07_nodevice|彩 繪 圓 盾 
itm_tab_shield_round_07_nodevice_pl|彩 繪 圓 盾 
itm_tab_shield_round_08_device|彩 繪 凸 圓 盾 
itm_tab_shield_round_08_device_pl|彩 繪 凸 圓 盾 
itm_tab_shield_round_08_nodevice|彩 繪 凸 圓 盾 
itm_tab_shield_round_08_nodevice_pl|彩 繪 凸 圓 盾 
itm_tab_shield_round_09_device|彩 繪 圓 盾 
itm_tab_shield_round_09_device_pl|彩 繪 圓 盾 
itm_tab_shield_round_09_nodevice|彩 繪 圓 盾 
itm_tab_shield_round_09_nodevice_pl|彩 繪 圓 盾 
itm_tab_shield_round_10_device|彩 繪 凸 圓 盾 
itm_tab_shield_round_10_device_pl|彩 繪 凸 圓 盾 
itm_tab_shield_round_10_nodevice|彩 繪 凸 圓 盾 
itm_tab_shield_round_10_nodevice_pl|彩 繪 凸 圓 盾 
itm_tab_shield_round_11_device|彩 繪 凸 圓 盾 
itm_tab_shield_round_11_device_pl|彩 繪 凸 圓 盾 
itm_tab_shield_round_11_nodevice|彩 繪 凸 圓 盾 
itm_tab_shield_round_11_nodevice_pl|彩 繪 凸 圓 盾 
itm_tab_shield_round_12_device|彩 繪 圓 盾 
itm_tab_shield_round_12_device_pl|彩 繪 圓 盾 
itm_tab_shield_round_12_nodevice|彩 繪 圓 盾 
itm_tab_shield_round_12_nodevice_pl|彩 繪 圓 盾 
itm_tab_shield_small_round_c|彩 繪 小 圓 盾 
itm_tab_shield_small_round_c_pl|彩 繪 小 圓 盾 
itm_small_roundsh1|小 圓 盾 
itm_small_roundsh1_pl|小 圓 盾 
itm_small_roundsh2|小 圓 盾 
itm_small_roundsh2_pl|小 圓 盾 
itm_small_roundsh3|小 圓 盾 
itm_small_roundsh3_pl|小 圓 盾 
itm_small_roundsh4|小 圓 盾 
itm_small_roundsh4_pl|小 圓 盾 
itm_small_roundsh5|小 圓 盾 
itm_small_roundsh5_pl|小 圓 盾 
itm_small_roundsh6|小 圓 盾 
itm_small_roundsh6_pl|小 圓 盾 
itm_h_shield1|H形 盾 
itm_h_shield1_pl|H形 盾 
itm_h_shield2|H形 盾 
itm_h_shield2_pl|H形 盾 
itm_h_shield3|H形 盾 
itm_h_shield3_pl|H形 盾 
itm_h_shield4|H形 盾 
itm_h_shield4_pl|H形 盾 
itm_h_shield5|H形 盾 
itm_h_shield5_pl|H形 盾 
itm_h_shield6|H形 盾 
itm_h_shield6_pl|H形 盾 
itm_squaresh_1|方 盾 
itm_squaresh_1_pl|方 盾 
itm_squaresh_2|方 盾 
itm_squaresh_2_pl|方 盾 
itm_squaresh_3|方 盾 
itm_squaresh_3_pl|方 盾 
itm_squaresh_4|方 盾 
itm_squaresh_4_pl|方 盾 
itm_squaresh_5|方 盾 
itm_squaresh_5_pl|方 盾 
itm_squaresh_6|方 盾 
itm_squaresh_6_pl|方 盾 
itm_darts|簡 易 標 槍 
itm_darts_pl|簡 易 標 槍 
itm_darts_melee|簡 易 標 槍 
itm_darts_melee_pl|簡 易 標 槍 
itm_javelin|標 槍 
itm_javelin_pl|標 槍 
itm_javelin_melee|標 槍 
itm_javelin_melee_pl|標 槍 
itm_javelin_skirmishes|戰 斗 標 槍 
itm_javelin_skirmishes_pl|戰 斗 標 槍 
itm_javelin_skirmishes_melee|戰 斗 標 槍 
itm_javelin_skirmishes_melee_pl|戰 斗 標 槍 
itm_javelin_skirmishesel|重 標 槍 
itm_javelin_skirmishesel_pl|重 標 槍 
itm_javelin_skirmishesel_melee|重 標 槍 
itm_javelin_skirmishesel_melee_pl|重 標 槍 
itm_javelin_jinetes|騎 手 標 槍 
itm_javelin_jinetes_pl|騎 手 標 槍 
itm_javelin_jinetes_melee|騎 手 標 槍 
itm_javelin_jinetes_melee_pl|騎 手 標 槍 
itm_throwing_spears|投 矛 
itm_throwing_spears_pl|投 矛 
itm_throwing_spear_melee|投 矛 
itm_throwing_spear_melee_pl|投 矛 
itm_throwing_spears2|投 矛 
itm_throwing_spears2_pl|投 矛 
itm_throwing_spear2_melee|投 矛 
itm_throwing_spear2_melee_pl|投 矛 
itm_stones|石 頭 
itm_stones_pl|石 頭 
itm_long_bow|長 弓 
itm_long_bow_pl|長 弓 
itm_long_bow2|優 質 長 弓 
itm_long_bow2_pl|優 質 長 弓 
itm_long_bow3|精 制 長 弓 
itm_long_bow3_pl|精 制 長 弓 
itm_hunting_crossbow|皮 克 特 弩 
itm_hunting_crossbow_pl|皮 克 特 弩 
itm_strong_bow|暗 黑 獵 人 
itm_strong_bow_pl|暗 黑 獵 人 
itm_war_bow|瞠 目 結 舌 
itm_war_bow_pl|瞠 目 結 舌 
itm_sling_rock1|投 石 索 用 石 
itm_sling_rock1_pl|投 石 索 用 石 
itm_sling_lead|投 石 索 用 鉛 塊 
itm_sling_lead_pl|投 石 索 用 鉛 塊 
itm_sling|投 石 索 
itm_sling_pl|投 石 索 
itm_sling2|投 石 索 
itm_sling2_pl|投 石 索 
itm_sling3|投 石 索 
itm_sling3_pl|投 石 索 
itm_sling_militar|軍 用 投 石 索 
itm_sling_militar_pl|軍 用 投 石 索 
itm_fustibalus1|投 石 器 
itm_fustibalus1_pl|投 石 器 
itm_fustibalus2|投 石 器 
itm_fustibalus2_pl|投 石 器 
itm_fustibalus_military|軍 用 投 石 器 
itm_fustibalus_military_pl|軍 用 投 石 器 
itm_torch|火 把 
itm_torch_pl|火 把 
itm_lyre|裡 拉 琴 
itm_lyre_pl|裡 拉 琴 
itm_lute|魯 特 琴 
itm_lute_pl|魯 特 琴 
itm_instruments_end|Instruments End
itm_instruments_end_pl|Instruments End
itm_court_dress|侍 女 裙 
itm_court_dress_pl|侍 女 裙 
itm_stones_siege|攻 城 用 石 
itm_stones_siege_pl|攻 城 用 石 
itm_trophy_a|戰 利 品 
itm_trophy_a_pl|戰 利 品 
itm_trophy_b|優 良 的 戰 利 品 
itm_trophy_b_pl|優 良 的 戰 利 品 
itm_trophy_c|極 好 的 戰 利 品 
itm_trophy_c_pl|極 好 的 戰 利 品 
itm_iniauhorn|因 裡 奧 的 號 角 
itm_iniauhorn_pl|因 裡 奧 的 號 角 
itm_tunic_with_green_cape|綠 色 帶 披 風 短 袍 
itm_tunic_with_green_cape_pl|綠 色 帶 披 風 短 袍 
itm_keys|鑰 匙 串 
itm_keys_pl|鑰 匙 串 
itm_bride_dress|新 娘 裝 
itm_bride_dress_pl|新 娘 裝 
itm_bride_crown|花 冠 
itm_bride_crown_pl|花 冠 
itm_bride_shoes|新 娘 鞋 
itm_bride_shoes_pl|新 娘 鞋 
itm_practice_bow_2|長 弓 
itm_practice_bow_2_pl|長 弓 
itm_practice_arrows_2|箭 
itm_practice_arrows_2_pl|箭 
itm_steel_bolts|攻 城 用 石 
itm_steel_bolts_pl|攻 城 用 石 
itm_heraldic_mail_with_tunic_b|襯 衫 
itm_heraldic_mail_with_tunic_b_pl|襯 衫 
itm_heraldic_mail_with_tabard|襯 衫 
itm_heraldic_mail_with_tabard_pl|襯 衫 
itm_thors_helmet|索 爾 之 盔 
itm_thors_helmet_pl|索 爾 之 盔 
itm_thors_armor|索 爾 之 甲 
itm_thors_armor_pl|索 爾 之 甲 
itm_thors_boots|索 爾 之 靴 
itm_thors_boots_pl|索 爾 之 靴 
itm_thors_hammer|索 爾 之 錘 
itm_thors_hammer_pl|索 爾 之 錘 
itm_deadly_bow|致 命 的 弓 
itm_deadly_bow_pl|致 命 的 弓 
itm_deadly_arrows|致 命 的 箭 
itm_deadly_arrows_pl|致 命 的 箭 
itm_honey|蜂 蜜 
itm_honey_pl|蜂 蜜 
itm_raw_leather|獸 皮 
itm_raw_leather_pl|獸 皮 
itm_furs|毛 皮 
itm_furs_pl|毛 皮 
itm_wool_cloth|毛 織 布 
itm_wool_cloth_pl|毛 織 布 
itm_oil|油 
itm_oil_pl|油 
itm_velvet|天 鵝 絨 
itm_velvet_pl|天 鵝 絨 
itm_work_axe|斧 
itm_work_axe_pl|斧 
itm_work_pickaxe|鎬 
itm_work_pickaxe_pl|鎬 
itm_work_pitchfork|杈 
itm_work_pitchfork_pl|杈 
itm_work_basket|籃 子 
itm_work_basket_pl|籃 子 
itm_torch2|火 把 
itm_torch2_pl|火 把 
itm_animal_boar|野 豬 
itm_animal_boar_pl|野 豬 
itm_animal_pig|豬 
itm_animal_pig_pl|豬 
itm_animal_piglet|豬 崽 
itm_animal_piglet_pl|豬 崽 
itm_animal_sheep|羊 
itm_animal_sheep_pl|羊 
itm_animal_sheep_b|羊 
itm_animal_sheep_b_pl|羊 
itm_animal_dog|狗 
itm_animal_dog_pl|狗 
itm_dog_companion_horse|狗 
itm_dog_companion_horse_pl|狗 
itm_magic_broom|古 怪 的 掃 帚 
itm_magic_broom_pl|古 怪 的 掃 帚 
itm_stones_mp|石 頭 
itm_stones_mp_pl|石 頭 
itm_invisible_armor|皇 帝 的 新 衣 
itm_invisible_armor_pl|皇 帝 的 新 衣 
itm_addon_mail4|熊 皮 鏈 甲 
itm_addon_mail4_pl|熊 皮 鏈 甲 
itm_addon_mail5|狼 皮 胸 甲 
itm_addon_mail5_pl|狼 皮 胸 甲 
itm_addon_mail6|熊 皮 胸 甲 
itm_addon_mail6_pl|熊 皮 胸 甲 
itm_addon_mail7|狼 皮 胸 甲 
itm_addon_mail7_pl|狼 皮 胸 甲 
itm_lamellar_armor2|鱗 片 胸 甲 
itm_lamellar_armor2_pl|鱗 片 胸 甲 
itm_trophy_norse|諾 爾 斯 國 王 獎 杯 
itm_trophy_norse_pl|諾 爾 斯 國 王 獎 杯 
itm_trophy_cymry|布 立 吞 國 王 獎 杯 
itm_trophy_cymry_pl|布 立 吞 國 王 獎 杯 
itm_trophy_irish|戈 伊 德 爾 大 首 領 獎 杯 
itm_trophy_irish_pl|戈 伊 德 爾 大 首 領 獎 杯 
itm_trophy_saxon|盎 格 魯 國 王 獎 杯 
itm_trophy_saxon_pl|盎 格 魯 國 王 獎 杯 
itm_bonus_tunic_1|使 者 外 衣 
itm_bonus_tunic_1_pl|使 者 外 衣 
itm_bonus_tunic_2|使 者 外 衣 
itm_bonus_tunic_2_pl|使 者 外 衣 
itm_bonus_tunic_3|商 人 外 衣 
itm_bonus_tunic_3_pl|商 人 外 衣 
itm_bonus_dress_1|皮 克 特 精 致 長 裙 
itm_bonus_dress_1_pl|皮 克 特 精 致 長 裙 
itm_bonus_dress_2|撒 克 遜 皇 家 長 裙 
itm_bonus_dress_2_pl|撒 克 遜 皇 家 長 裙 
